Season,Home,Prediction,Away,Result
1516,West Ham,0-2,Liverpool,2-0
1516,Arsenal,3-0,Newcastle,1-0
1516,Leicester,1-1,Bournemouth,0-0
1516,Man Utd,3-0,Swansea,2-1
1516,Norwich,2-1,Southampton,1-0
1516,Sunderland,2-0,Aston Villa,3-1
1516,West Brom,2-0,Stoke,2-1
1516,Watford,1-1,Man City,1-2
1516,Crystal Palace,1-2,Chelsea,0-3
1516,Everton,2-1,Tottenham,1-1
1516,Aston Villa,0-2,Crystal Palace,1-0
1516,Bournemouth,2-1,West Ham,1-3
1516,Newcastle,1-1,Man Utd,3-3
1516,Chelsea,2-0,West Brom,2-2
1516,Man City,2-0,Everton,0-0
1516,Southampton,2-1,Watford,2-0
1516,Stoke,2-0,Norwich,3-1
1516,Swansea,1-1,Sunderland,2-4
1516,Liverpool,1-1,Arsenal,3-3
1516,Tottenham,2-0,Leicester,0-1
1516,Tottenham,2-0,Sunderland,4-1
1516,Bournemouth,2-1,Norwich,3-0
1516,Chelsea,2-1,Everton,3-3
1516,Man City,3-0,Crystal Palace,4-0
1516,Newcastle,1-1,West Ham,2-1
1516,Southampton,2-1,West Brom,3-0
1516,Aston Villa,0-2,Leicester,1-1
1516,Liverpool,1-1,Man Utd,0-1
1516,Stoke,0-2,Arsenal,0-0
1516,Swansea,1-1,Watford,1-0
1516,Norwich,1-1,Liverpool,4-5
1516,Crystal Palace,0-1,Tottenham,1-3
1516,Leicester,2-1,Stoke,3-0
1516,Man Utd,1-1,Southampton,0-1
1516,Sunderland,2-1,Bournemouth,1-1
1516,Watford,0-2,Newcastle,2-1
1516,West Brom,2-0,Aston Villa,0-0
1516,West Ham,0-2,Man City,2-2
1516,Everton,2-0,Swansea,1-2
1516,Arsenal,2-1,Chelsea,0-1
1516,Arsenal,2-0,Southampton,0-0
1516,Leicester,1-1,Liverpool,2-0
1516,Norwich,2-1,Tottenham,0-3
1516,Sunderland,0-2,Man City,0-1
1516,West Ham,2-0,Aston Villa,2-0
1516,Crystal Palace,2-0,Bournemouth,1-2
1516,Man Utd,2-0,Stoke,3-0
1516,West Brom,2-1,Swansea,1-1
1516,Everton,2-1,Newcastle,3-0
1516,Watford,0-2,Chelsea,0-0
1516,Man City,2-1,Leicester,1-3
1516,Aston Villa,0-2,Norwich,2-0
1516,Liverpool,2-1,Sunderland,2-2
1516,Newcastle,2-1,West Brom,1-0
1516,Stoke,1-1,Everton,0-3
1516,Swansea,2-2,Crystal Palace,1-1
1516,Tottenham,2-0,Watford,1-0
1516,Southampton,2-1,West Ham,1-0
1516,Bournemouth,0-2,Arsenal,0-2
1516,Chelsea,1-1,Man Utd,1-1
1516,Sunderland,0-2,Man Utd,2-1
1516,Bournemouth,2-0,Stoke,1-3
1516,Crystal Palace,2-1,Watford,1-2
1516,Everton,2-0,West Brom,0-1
1516,Norwich,2-0,West Ham,2-2
1516,Swansea,0-2,Southampton,0-1
1516,Chelsea,2-0,Newcastle,5-1
1516,Arsenal,1-1,Leicester,2-1
1516,Aston Villa,0-2,Liverpool,0-6
1516,Man City,2-2,Tottenham,1-2
1516,West Ham,2-1,Sunderland,1-0
1516,Leicester,2-0,Norwich,1-0
1516,Southampton,1-1,Chelsea,1-2
1516,Stoke,2-0,Aston Villa,2-1
1516,Watford,2-0,Bournemouth,0-0
1516,West Brom,2-1,Crystal Palace,3-2
1516,Man Utd,1-2,Arsenal,3-2
1516,Tottenham,2-0,Swansea,2-1
1516,Aston Villa,0-2,Everton,1-3
1516,Bournemouth,2-1,Southampton,2-0
1516,Leicester,1-1,West Brom,2-2
1516,Norwich,0-2,Chelsea,1-2
1516,Sunderland,2-1,Crystal Palace,2-2
1516,Arsenal,2-0,Swansea,1-2
1516,Stoke,2-0,Newcastle,1-0
1516,West Ham,1-1,Tottenham,1-0
1516,Liverpool,1-1,Man City,3-0
1516,Man Utd,1-2,Watford,1-0
1516,Tottenham,1-1,Arsenal,2-2
1516,Chelsea,2-0,Stoke,1-1
1516,Everton,1-1,West Ham,2-3
1516,Man City,3-0,Aston Villa,4-0
1516,Newcastle,2-1,Bournemouth,1-3
1516,Southampton,2-0,Sunderland,1-1
1516,Swansea,2-1,Norwich,1-0
1516,Watford,1-2,Leicester,0-1
1516,Crystal Palace,1-1,Liverpool,1-2
1516,West Brom,1-1,Man Utd,1-0
1516,Norwich,0-2,Man City,0-0
1516,Bournemouth,2-0,Swansea,3-2
1516,Stoke,2-0,Southampton,1-2
1516,Aston Villa,0-2,Tottenham,0-2
1516,Leicester,2-0,Newcastle,1-0
1516,Everton,1-1,Arsenal,0-2
1516,Chelsea,1-1,West Ham,2-2
1516,Crystal Palace,2-1,Leicester,0-1
1516,Watford,2-1,Stoke,1-2
1516,West Brom,2-0,Norwich,0-1
1516,Swansea,2-0,Aston Villa,1-0
1516,Newcastle,1-1,Sunderland,1-1
1516,Southampton,2-1,Liverpool,3-2
1516,Man City,2-0,Man Utd,0-1
1516,Tottenham,2-1,Bournemouth,3-0
1516,Aston Villa,0-2,Chelsea,0-4
1516,Arsenal,2-0,Watford,4-0
1516,Bournemouth,1-1,Man City,0-4
1516,Norwich,2-1,Newcastle,3-2
1516,Stoke,2-1,Swansea,2-2
1516,Sunderland,1-1,West Brom,0-0
1516,West Ham,2-1,Crystal Palace,2-2
1516,Liverpool,1-1,Tottenham,1-1
1516,Leicester,2-0,Southampton,1-0
1516,Man Utd,1-1,Everton,1-0
1516,West Ham,1-2,Arsenal,3-3
1516,Aston Villa,1-2,Bournemouth,1-2
1516,Crystal Palace,2-0,Norwich,1-0
1516,Southampton,2-0,Newcastle,3-1
1516,Swansea,0-2,Chelsea,1-0
1516,Watford,1-1,Everton,1-1
1516,Man City,2-0,West Brom,2-1
1516,Sunderland,1-1,Leicester,0-2
1516,Liverpool,2-1,Stoke,4-1
1516,Tottenham,2-0,Man Utd,3-0
1516,Crystal Palace,2-1,Everton,0-0
1516,Norwich,1-1,Sunderland,0-3
1516,Everton,2-1,Southampton,1-1
1516,Man Utd,3-0,Aston Villa,1-0
1516,Newcastle,2-1,Swansea,3-0
1516,West Brom,2-1,Watford,0-1
1516,Chelsea,1-2,Man City,0-3
1516,Bournemouth,1-1,Liverpool,1-2
1516,Leicester,2-1,West Ham,2-2
1516,Arsenal,2-0,Crystal Palace,1-1
1516,Stoke,0-2,Tottenham,0-4
1516,Newcastle,0-2,Man City,1-1
1516,West Ham,2-0,Watford,3-1
1516,Liverpool,2-1,Everton,4-0
1516,Man Utd,2-0,Crystal Palace,2-0
1516,Arsenal,2-0,West Brom,2-0
1516,Aston Villa,0-2,Southampton,2-4
1516,Bournemouth,1-1,Chelsea,1-4
1516,Liverpool,2-0,Newcastle,2-2
1516,Man City,2-0,Stoke,4-0
1516,Sunderland,1-1,Arsenal,0-0
1516,Leicester,1-1,Swansea,4-0
1516,Tottenham,3-0,West Brom,1-1
1516,Everton,2-1,Bournemouth,2-1
1516,Newcastle,2-0,Crystal Palace,1-0
1516,Stoke,1-1,Sunderland,1-1
1516,Watford,2-0,Aston Villa,3-2
1516,West Brom,2-1,West Ham,0-3
1516,Arsenal,2-0,Norwich,1-0
1516,Swansea,1-1,Liverpool,3-1
1516,Man Utd,1-1,Leicester,1-1
1516,Southampton,0-2,Man City,4-2
1516,Chelsea,1-1,Tottenham,2-2
1516,Norwich,0-2,Man Utd,0-1
1516,Aston Villa,1-2,Newcastle,0-0
1516,Bournemouth,1-1,West Brom,1-1
1516,Crystal Palace,0-1,Stoke,2-1
1516,Sunderland,1-1,Chelsea,3-2
1516,West Ham,2-0,Swansea,1-4
1516,Leicester,1-1,Everton,3-1
1516,Tottenham,1-1,Southampton,1-2
1516,Liverpool,2-0,Watford,2-0
1516,Man City,2-1,Arsenal,2-2
1516,Arsenal,3-0,Aston Villa,4-0
1516,Chelsea,1-1,Leicester,1-1
1516,Everton,2-1,Norwich,3-0
1516,Man Utd,2-0,Bournemouth,3-1
1516,Newcastle,1-2,Tottenham,5-1
1516,Southampton,2-0,Crystal Palace,4-1
1516,Stoke,1-1,West Ham,2-1
1516,Swansea,1-1,Man City,1-1
1516,Watford,2-1,Sunderland,2-2
1516,West Brom,2-1,Liverpool,1-1
1617,Hull,0-2,Leicester,2-1
1617,Burnley,1-1,Swansea,0-1
1617,Crystal Palace,2-1,West Brom,0-1
1617,Everton,1-1,Tottenham,1-1
1617,Middlesbrough,1-0,Stoke,1-1
1617,Southampton,2-1,Watford,1-1
1617,Man City,2-0,Sunderland,2-1
1617,Bournemouth,0-2,Man Utd,1-3
1617,Arsenal,1-1,Liverpool,3-4
1617,Chelsea,2-0,West Ham,2-1
1617,Man Utd,2-0,Southampton,2-0
1617,Stoke,1-2,Man City,1-4
1617,Burnley,0-2,Liverpool,2-0
1617,Swansea,2-1,Hull,0-2
1617,Tottenham,2-0,Crystal Palace,1-0
1617,Watford,0-2,Chelsea,1-2
1617,West Brom,1-1,Everton,1-2
1617,Leicester,1-1,Arsenal,0-0
1617,Sunderland,1-1,Middlesbrough,1-2
1617,West Ham,2-1,Bournemouth,1-0
1617,Tottenham,1-1,Liverpool,1-1
1617,Chelsea,2-0,Burnley,3-0
1617,Crystal Palace,2-1,Bournemouth,1-1
1617,Everton,2-0,Stoke,1-0
1617,Leicester,2-0,Swansea,2-1
1617,Southampton,1-1,Sunderland,1-1
1617,Watford,0-2,Arsenal,1-3
1617,Hull,0-2,Man Utd,0-1
1617,West Brom,2-0,Middlesbrough,0-0
1617,Man City,2-0,West Ham,3-1
1617,Man Utd,1-0,Man City,1-2
1617,Arsenal,3-0,Southampton,2-1
1617,Bournemouth,1-1,West Brom,1-0
1617,Burnley,2-1,Hull,1-1
1617,Middlesbrough,0-2,Crystal Palace,1-2
1617,Stoke,1-1,Tottenham,0-4
1617,West Ham,2-0,Watford,2-4
1617,Liverpool,2-1,Leicester,4-1
1617,Swansea,0-2,Chelsea,2-2
1617,Sunderland,1-1,Everton,0-3
1617,Chelsea,0-2,Liverpool,1-2
1617,Hull,0-2,Arsenal,1-4
1617,Leicester,2-0,Burnley,3-0
1617,Man City,3-0,Bournemouth,4-0
1617,West Brom,1-1,West Ham,4-2
1617,Everton,2-0,Middlesbrough,3-1
1617,Watford,1-2,Man Utd,3-1
1617,Crystal Palace,1-1,Stoke,4-1
1617,Southampton,2-0,Swansea,1-0
1617,Tottenham,2-0,Sunderland,1-0
1617,Man Utd,2-1,Leicester,4-1
1617,Bournemouth,1-1,Everton,1-0
1617,Liverpool,3-0,Hull,5-1
1617,Middlesbrough,0-2,Tottenham,1-2
1617,Stoke,1-1,West Brom,1-1
1617,Sunderland,2-1,Crystal Palace,2-3
1617,Swansea,0-2,Man City,1-3
1617,Arsenal,1-1,Chelsea,3-0
1617,West Ham,2-1,Southampton,0-3
1617,Burnley,2-1,Watford,2-0
1617,Everton,2-1,Crystal Palace,1-1
1617,Swansea,0-2,Liverpool,1-2
1617,Hull,0-2,Chelsea,0-2
1617,Sunderland,2-1,West Brom,1-1
1617,Watford,1-1,Bournemouth,2-2
1617,West Ham,2-0,Middlesbrough,1-1
1617,Man Utd,2-0,Stoke,1-1
1617,Leicester,2-1,Southampton,0-0
1617,Tottenham,2-2,Man City,2-0
1617,Burnley,0-2,Arsenal,0-1
1617,Chelsea,2-0,Leicester,3-0
1617,Arsenal,2-0,Swansea,3-2
1617,Bournemouth,2-0,Hull,6-1
1617,Man City,1-1,Everton,1-1
1617,Stoke,2-1,Sunderland,2-0
1617,West Brom,0-2,Tottenham,1-1
1617,Crystal Palace,1-1,West Ham,0-1
1617,Middlesbrough,1-1,Watford,0-1
1617,Southampton,2-0,Burnley,3-1
1617,Liverpool,2-0,Man Utd,0-0
1617,Bournemouth,1-1,Tottenham,0-0
1617,Arsenal,3-0,Middlesbrough,0-0
1617,Burnley,1-1,Everton,2-1
1617,Hull,0-2,Stoke,0-2
1617,Leicester,2-1,Crystal Palace,3-1
1617,Swansea,1-1,Watford,0-0
1617,West Ham,2-1,Sunderland,1-0
1617,Liverpool,3-0,West Brom,2-1
1617,Man City,2-0,Southampton,1-1
1617,Chelsea,1-1,Man Utd,4-0
1617,Sunderland,1-2,Arsenal,1-4
1617,Man Utd,2-0,Burnley,0-0
1617,Middlesbrough,1-0,Bournemouth,2-0
1617,Tottenham,2-1,Leicester,1-1
1617,Watford,2-0,Hull,1-0
1617,West Brom,0-2,Man City,0-4
1617,Crystal Palace,0-2,Liverpool,2-4
1617,Everton,1-1,West Ham,2-0
1617,Southampton,0-2,Chelsea,0-2
1617,Stoke,2-0,Swansea,3-1
1617,Bournemouth,2-0,Sunderland,1-2
1617,Burnley,1-1,Crystal Palace,3-2
1617,Man City,3-0,Middlesbrough,1-1
1617,West Ham,1-1,Stoke,1-1
1617,Chelsea,2-1,Everton,5-0
1617,Arsenal,2-0,Tottenham,1-1
1617,Hull,1-1,Southampton,2-1
1617,Liverpool,3-0,Watford,6-1
1617,Swansea,0-2,Man Utd,1-3
1617,Leicester,2-1,West Brom,1-2
1617,Man Utd,1-1,Arsenal,1-1
1617,Crystal Palace,0-2,Man City,1-2
1617,Everton,2-0,Swansea,1-1
1617,Southampton,1-2,Liverpool,0-0
1617,Stoke,1-1,Bournemouth,0-1
1617,Sunderland,2-0,Hull,3-0
1617,Watford,0-2,Leicester,2-1
1617,Tottenham,2-0,West Ham,3-2
1617,Middlesbrough,0-2,Chelsea,0-1
1617,West Brom,2-0,Burnley,4-0
1617,Burnley,0-2,Man City,1-2
1617,Hull,1-1,West Brom,1-1
1617,Leicester,2-0,Middlesbrough,2-2
1617,Liverpool,2-0,Sunderland,2-0
1617,Swansea,1-1,Crystal Palace,5-4
1617,Chelsea,2-0,Tottenham,2-1
1617,Watford,2-1,Stoke,0-1
1617,Arsenal,2-0,Bournemouth,3-1
1617,Man Utd,2-1,West Ham,1-1
1617,Southampton,1-1,Everton,1-0
1617,Man City,2-1,Chelsea,1-3
1617,Crystal Palace,2-0,Southampton,3-0
1617,Stoke,2-0,Burnley,2-0
1617,Sunderland,1-1,Leicester,2-1
1617,Tottenham,2-0,Swansea,5-0
1617,West Brom,2-0,Watford,3-1
1617,West Ham,0-2,Arsenal,1-5
1617,Bournemouth,1-1,Liverpool,4-3
1617,Everton,1-1,Man Utd,1-1
1617,Middlesbrough,2-0,Hull,1-0
1617,Watford,0-2,Everton,3-2
1617,Arsenal,2-0,Stoke,3-1
1617,Burnley,2-0,Bournemouth,3-2
1617,Hull,0-2,Crystal Palace,3-3
1617,Swansea,1-1,Sunderland,3-0
1617,Leicester,2-1,Man City,4-2
1617,Chelsea,2-0,West Brom,1-0
1617,Man Utd,1-1,Tottenham,1-0
1617,Southampton,1-1,Middlesbrough,1-0
1617,Liverpool,2-0,West Ham,2-2
1617,Bournemouth,0-2,Leicester,1-0
1617,Everton,1-1,Arsenal,2-1
1617,Middlesbrough,0-2,Liverpool,0-3
1617,Sunderland,0-2,Chelsea,0-1
1617,West Ham,2-0,Burnley,1-0
1617,Crystal Palace,1-2,Man Utd,1-2
1617,Man City,3-1,Watford,2-0
1617,Stoke,2-1,Southampton,0-0
1617,Tottenham,3-0,Hull,3-0
1617,West Brom,1-1,Swansea,3-1
1617,Crystal Palace,1-1,Chelsea,0-1
1617,Middlesbrough,2-0,Swansea,3-0
1617,Stoke,1-2,Leicester,2-2
1617,Sunderland,2-1,Watford,1-0
1617,West Ham,2-0,Hull,1-0
1617,West Brom,0-2,Man Utd,0-2
1617,Bournemouth,2-0,Southampton,1-3
1617,Man City,1-1,Arsenal,2-1
1617,Tottenham,2-0,Burnley,2-1
1617,Everton,1-1,Liverpool,0-1
1617,Watford,1-1,Crystal Palace,1-1
1617,Arsenal,2-0,West Brom,1-0
1617,Burnley,1-1,Middlesbrough,1-0
1617,Chelsea,2-0,Bournemouth,3-0
1617,Leicester,2-1,Everton,0-2
1617,Man Utd,3-0,Sunderland,3-1
1617,Swansea,0-2,West Ham,1-4
1617,Hull,0-3,Man City,0-3
1617,Liverpool,3-0,Stoke,4-1
1617,Southampton,0-2,Tottenham,1-4
1617,Hull,1-1,Everton,2-2
1617,Burnley,1-2,Sunderland,4-1
1617,Chelsea,3-0,Stoke,4-2
1617,Leicester,1-1,West Ham,1-0
1617,Man Utd,2-0,Middlesbrough,2-1
1617,Southampton,1-2,West Brom,1-2
1617,Swansea,2-1,Bournemouth,0-3
1617,Liverpool,1-1,Man City,1-0
1617,Watford,0-2,Tottenham,1-4
1617,Arsenal,2-0,Crystal Palace,2-0
1617,Middlesbrough,0-2,Leicester,0-0
1617,Everton,2-0,Southampton,3-0
1617,Man City,3-0,Burnley,2-1
1617,Sunderland,0-2,Liverpool,2-2
1617,West Brom,2-0,Hull,3-1
1617,West Ham,1-2,Man Utd,0-2
1617,Bournemouth,0-2,Arsenal,3-3
1617,Crystal Palace,2-0,Swansea,1-2
1617,Stoke,2-0,Watford,2-0
1617,Tottenham,2-1,Chelsea,2-0
1617,Tottenham,2-0,West Brom,4-0
1617,Burnley,1-1,Southampton,1-0
1617,Hull,1-2,Bournemouth,3-1
1617,Sunderland,1-1,Stoke,1-3
1617,Swansea,0-2,Arsenal,0-4
1617,Watford,1-1,Middlesbrough,0-0
1617,West Ham,1-1,Crystal Palace,3-0
1617,Leicester,2-1,Chelsea,0-3
1617,Everton,1-2,Man City,4-0
1617,Man Utd,1-1,Liverpool,1-1
1617,Liverpool,3-0,Swansea,2-3
1617,Bournemouth,2-1,Watford,2-2
1617,Crystal Palace,1-1,Everton,0-1
1617,Middlesbrough,1-1,West Ham,1-3
1617,Stoke,1-1,Man Utd,1-1
1617,West Brom,2-0,Sunderland,2-0
1617,Man City,2-2,Tottenham,2-2
1617,Southampton,1-1,Leicester,3-0
1617,Arsenal,2-0,Burnley,2-1
1617,Chelsea,3-0,Hull,2-0
1617,Arsenal,3-0,Watford,1-2
1617,Bournemouth,1-1,Crystal Palace,0-2
1617,Burnley,1-2,Leicester,1-0
1617,Middlesbrough,1-2,West Brom,1-1
1617,Sunderland,1-0,Tottenham,0-0
1617,Swansea,2-0,Southampton,2-1
1617,Liverpool,1-1,Chelsea,1-1
1617,West Ham,0-2,Man City,0-4
1617,Man Utd,2-0,Hull,0-0
1617,Stoke,1-1,Everton,1-1
1617,Chelsea,2-0,Arsenal,3-1
1617,Crystal Palace,2-1,Sunderland,0-4
1617,Everton,2-0,Bournemouth,6-3
1617,Hull,0-2,Liverpool,2-0
1617,Southampton,2-1,West Ham,1-3
1617,Watford,1-1,Burnley,2-1
1617,West Brom,2-1,Stoke,1-0
1617,Tottenham,2-0,Middlesbrough,1-0
1617,Man City,3-0,Swansea,2-1
1617,Leicester,1-1,Man Utd,0-3
1617,Arsenal,2-0,Hull,2-0
1617,Man Utd,2-0,Watford,2-0
1617,Middlesbrough,1-1,Everton,0-0
1617,Stoke,2-1,Crystal Palace,1-0
1617,Sunderland,1-0,Southampton,0-4
1617,West Ham,1-1,West Brom,2-2
1617,Liverpool,1-1,Tottenham,2-0
1617,Burnley,0-2,Chelsea,1-1
1617,Swansea,1-1,Leicester,2-0
1617,Bournemouth,0-2,Man City,0-2
1617,Chelsea,3-0,Swansea,3-1
1617,Crystal Palace,2-0,Middlesbrough,1-0
1617,Everton,1-1,Sunderland,2-0
1617,Hull,1-1,Burnley,1-1
1617,West Brom,2-1,Bournemouth,2-1
1617,Watford,2-0,West Ham,1-1
1617,Tottenham,2-0,Stoke,4-0
1617,Leicester,0-2,Liverpool,3-1
1617,Man Utd,2-0,Bournemouth,1-1
1617,Leicester,2-0,Hull,3-1
1617,Stoke,2-0,Middlesbrough,2-0
1617,Swansea,1-1,Burnley,3-2
1617,Watford,2-1,Southampton,3-4
1617,West Brom,1-1,Crystal Palace,0-2
1617,Liverpool,2-1,Arsenal,3-1
1617,Tottenham,2-0,Everton,3-2
1617,Sunderland,0-2,Man City,0-2
1617,West Ham,0-2,Chelsea,1-2
1617,Bournemouth,2-1,West Ham,3-2
1617,Everton,1-1,West Brom,3-0
1617,Hull,1-1,Swansea,2-1
1617,Liverpool,2-0,Burnley,2-1
1617,West Brom,1-1,Arsenal,3-1
1617,Crystal Palace,2-0,Watford,1-0
1617,Everton,2-0,Hull,4-0
1617,Stoke,0-2,Chelsea,1-2
1617,Sunderland,1-2,Burnley,0-0
1617,West Ham,0-2,Leicester,2-3
1617,Bournemouth,2-1,Swansea,2-0
1617,Middlesbrough,1-1,Man Utd,1-3
1617,Tottenham,2-0,Southampton,2-1
1617,Man City,1-1,Liverpool,1-1
1617,Liverpool,2-0,Everton,3-1
1617,Burnley,1-1,Tottenham,0-2
1617,Chelsea,2-0,Crystal Palace,1-2
1617,Hull,1-0,West Ham,2-1
1617,Leicester,2-0,Stoke,2-0
1617,Man Utd,2-0,West Brom,0-0
1617,Watford,2-1,Sunderland,1-0
1617,Southampton,1-1,Bournemouth,0-0
1617,Swansea,2-0,Middlesbrough,0-0
1617,Arsenal,1-1,Man City,2-2
1617,Burnley,1-1,Stoke,1-0
1617,Leicester,2-0,Sunderland,2-0
1617,Watford,2-0,West Brom,2-0
1617,Man Utd,2-0,Everton,1-1
1617,Arsenal,2-1,West Ham,3-0
1617,Hull,2-0,Middlesbrough,4-2
1617,Southampton,1-1,Crystal Palace,3-1
1617,Swansea,0-1,Tottenham,1-3
1617,Chelsea,1-1,Man City,2-1
1617,Liverpool,2-0,Bournemouth,2-2
1617,Tottenham,2-0,Watford,4-0
1617,Man City,3-0,Hull,3-1
1617,Middlesbrough,0-2,Burnley,0-0
1617,Stoke,1-1,Liverpool,1-2
1617,West Brom,2-1,Southampton,0-1
1617,West Ham,2-1,Swansea,1-0
1617,Bournemouth,0-2,Chelsea,1-3
1617,Sunderland,0-2,Man Utd,0-3
1617,Everton,0-2,Leicester,4-2
1617,Crystal Palace,1-1,Arsenal,3-0
1617,Tottenham,3-0,Bournemouth,4-0
1617,Crystal Palace,2-1,Leicester,2-2
1617,Everton,2-0,Burnley,3-1
1617,Stoke,2-0,Hull,3-1
1617,Sunderland,2-1,West Ham,2-2
1617,Watford,2-1,Swansea,1-0
1617,Southampton,0-2,Man City,0-3
1617,West Brom,0-2,Liverpool,0-1
1617,Man Utd,0-2,Chelsea,2-0
1617,Middlesbrough,0-2,Arsenal,1-2
1617,Bournemouth,2-0,Middlesbrough,4-0
1617,Hull,2-1,Watford,2-0
1617,Swansea,1-1,Stoke,2-0
1617,West Ham,1-1,Everton,0-0
1617,Burnley,1-1,Man Utd,0-2
1617,Liverpool,2-0,Crystal Palace,1-2
1617,Chelsea,2-0,Southampton,4-2
1617,Arsenal,2-0,Leicester,1-0
1617,Middlesbrough,0-0,Sunderland,1-0
1617,Crystal Palace,1-2,Tottenham,0-1
1617,Man City,1-1,Man Utd,0-0
1617,Southampton,2-0,Hull,0-0
1617,Stoke,2-0,West Ham,0-0
1617,Sunderland,1-1,Bournemouth,0-1
1617,West Brom,2-1,Leicester,0-1
1617,Crystal Palace,2-1,Burnley,0-2
1617,Man Utd,2-0,Swansea,1-1
1617,Everton,0-2,Chelsea,0-3
1617,Middlesbrough,0-2,Man City,2-2
1617,Tottenham,1-1,Arsenal,2-0
1617,Watford,1-2,Liverpool,0-1
1617,West Ham,0-2,Tottenham,1-0
1617,Man City,3-0,Crystal Palace,5-0
1617,Bournemouth,1-1,Stoke,2-2
1617,Burnley,1-1,West Brom,2-2
1617,Hull,2-0,Sunderland,0-2
1617,Leicester,2-0,Watford,3-0
1617,Swansea,2-1,Everton,1-0
1617,Liverpool,2-0,Southampton,0-0
