Season,Home,Prediction,Away,Result
1415,Leicester,0-2,Everton,2-2
1415,Man United,3-0,Swansea,1-2
1415,Arsenal,2-0,Crystal Palace,2-1
1415,QPR,1-1,Hull,0-1
1415,Stoke,2-0,Aston Villa,0-1
1415,West Brom,1-1,Sunderland,2-2
1415,West Ham,1-1,Tottenham,0-1
1415,Liverpool,3-0,Southampton,2-1
1415,Newcastle,0-2,Man City,0-2
1415,Burnley,0-3,Chelsea,1-3
1415,Everton,1-1,Arsenal,2-2
1415,Aston Villa,1-1,Newcastle,0-0
1415,Chelsea,2-0,Leicester,2-0
1415,Crystal Palace,2-1,West Ham,1-3
1415,Southampton,1-1,West Brom,0-0
1415,Swansea,3-1,Burnley,1-0
1415,Sunderland,0-1,Man United,1-1
1415,Hull,1-1,Stoke,1-1
1415,Tottenham,2-0,QPR,4-0
1415,Man City,2-2,Liverpool,3-1
1415,Leicester,0-3,Arsenal,1-1
1415,Chelsea,2-0,Swansea,4-2
1415,Liverpool,2-1,Aston Villa,0-1
1415,Arsenal,2-1,Man City,2-2
1415,Crystal Palace,2-1,Burnley,0-0
1415,Southampton,1-1,Newcastle,4-0
1415,Stoke,1-0,Leicester,0-1
1415,Sunderland,0-2,Tottenham,2-2
1415,West Brom,1-3,Everton,0-2
1415,Man United,3-0,QPR,4-0
1415,Hull,1-1,West Ham,2-2
1415,West Ham,1-2,Liverpool,3-1
1415,Aston Villa,1-1,Arsenal,0-3
1415,Burnley,1-1,Sunderland,0-0
1415,Newcastle,2-2,Hull,2-2
1415,Swansea,2-1,Southampton,0-1
1415,QPR,1-1,Stoke,2-2
1415,Man City,1-1,Chelsea,1-1
1415,Leicester,2-3,Man United,5-3
1415,Everton,3-1,Crystal Palace,2-3
1415,Tottenham,3-0,West Brom,0-1
1415,Arsenal,3-0,Tottenham,1-1
1415,Liverpool,2-1,Everton,1-1
1415,Chelsea,2-0,Aston Villa,3-0
1415,Crystal Palace,1-1,Leicester,2-0
1415,Hull,1-3,Man City,2-4
1415,Man United,2-2,West Ham,2-1
1415,Southampton,3-0,QPR,2-1
1415,Sunderland,1-2,Swansea,0-0
1415,West Brom,2-0,Burnley,4-0
1415,Stoke,2-0,Newcastle,1-0
1415,Hull,2-2,Crystal Palace,2-0
1415,Leicester,3-0,Burnley,2-2
1415,Liverpool,3-0,West Brom,2-1
1415,Sunderland,1-1,Stoke,3-1
1415,Swansea,2-1,Newcastle,2-2
1415,Aston Villa,1-2,Man City,0-2
1415,Man United,3-1,Everton,2-1
1415,Chelsea,2-1,Arsenal,2-0
1415,Tottenham,1-3,Southampton,1-0
1415,West Ham,3-0,QPR,2-0
1415,Man City,3-0,Tottenham,4-1
1415,Arsenal,3-1,Hull,2-2
1415,Burnley,1-3,West Ham,1-3
1415,Crystal Palace,2-0,Chelsea,1-2
1415,Everton,2-0,Aston Villa,3-0
1415,Newcastle,2-2,Leicester,1-0
1415,Southampton,2-1,Sunderland,8-0
1415,QPR,1-2,Liverpool,2-3
1415,Stoke,2-1,Swansea,2-1
1415,West Brom,2-4,Man United,2-2
1415,West Ham,1-2,Man City,2-1
1415,Liverpool,2-0,Hull,0-0
1415,Southampton,2-0,Stoke,1-0
1415,Sunderland,1-1,Arsenal,0-2
1415,West Brom,1-1,Crystal Palace,2-2
1415,Swansea,3-0,Leicester,2-0
1415,Burnley,0-3,Everton,1-3
1415,Tottenham,2-0,Newcastle,1-2
1415,Man United,1-2,Chelsea,1-1
1415,QPR,2-0,Aston Villa,2-0
1415,Newcastle,1-2,Liverpool,1-0
1415,Arsenal,5-0,Burnley,3-0
1415,Chelsea,3-0,QPR,2-1
1415,Everton,3-2,Swansea,0-0
1415,Hull,1-1,Southampton,0-1
1415,Leicester,1-1,West Brom,0-1
1415,Stoke,2-2,West Ham,2-2
1415,Aston Villa,1-0,Tottenham,1-2
1415,Man City,1-1,Man United,1-0
1415,Crystal Palace,3-0,Sunderland,1-3
1415,Liverpool,1-2,Chelsea,1-2
1415,Burnley,1-1,Hull,1-0
1415,Man United,2-1,Crystal Palace,1-0
1415,Southampton,2-0,Leicester,2-0
1415,West Ham,2-0,Aston Villa,0-0
1415,QPR,1-1,Man City,2-2
1415,Swansea,1-1,Arsenal,2-1
1415,West Brom,2-2,Newcastle,0-2
1415,Sunderland,2-2,Everton,1-1
1415,Tottenham,2-1,Stoke,1-2
1415,Arsenal,2-1,Man United,1-2
1415,Everton,1-1,West Ham,2-1
1415,Leicester,1-1,Sunderland,0-0
1415,Man City,3-1,Swansea,2-1
1415,Newcastle,1-1,QPR,1-0
1415,Stoke,3-0,Burnley,1-2
1415,Chelsea,2-1,West Brom,2-0
1415,Crystal Palace,0-2,Liverpool,3-1
1415,Hull,2-1,Tottenham,1-2
1415,Aston Villa,1-2,Southampton,1-1
1415,West Brom,0-2,Arsenal,0-1
1415,Burnley,1-0,Aston Villa,1-1
1415,Liverpool,2-1,Stoke,1-0
1415,Man United,2-1,Hull,3-0
1415,QPR,2-0,Leicester,3-2
1415,Swansea,2-0,Crystal Palace,1-1
1415,West Ham,2-1,Newcastle,1-0
1415,Sunderland,0-3,Chelsea,0-0
1415,Southampton,1-3,Man City,0-3
1415,Tottenham,1-3,Everton,2-1
1415,Burnley,0-2,Newcastle,1-1
1415,Leicester,2-2,Liverpool,1-3
1415,Man United,3-1,Stoke,2-1
1415,Swansea,3-0,QPR,2-0
1415,Crystal Palace,1-1,Aston Villa,0-1
1415,West Brom,0-2,West Ham,1-2
1415,Arsenal,3-1,Southampton,1-0
1415,Chelsea,2-0,Tottenham,3-0
1415,Everton,3-0,Hull,1-1
1415,Sunderland,0-2,Man City,1-4
1415,Newcastle,0-2,Chelsea,2-1
1415,Hull,2-0,West Brom,0-0
1415,Liverpool,2-0,Sunderland,0-0
1415,QPR,3-2,Burnley,2-0
1415,Stoke,0-2,Arsenal,3-2
1415,Tottenham,2-1,Crystal Palace,0-0
1415,Man City,3-0,Everton,1-0
1415,West Ham,2-2,Swansea,3-1
1415,Aston Villa,2-0,Leicester,2-1
1415,Southampton,0-2,Man United,1-2
1415,Arsenal,2-1,Newcastle,4-1
1415,Burnley,1-1,Southampton,1-0
1415,Chelsea,3-0,Hull,2-0
1415,Crystal Palace,1-1,Stoke,1-1
1415,Leicester,0-2,Man City,0-1
1415,Sunderland,1-1,West Ham,1-1
1415,West Brom,1-1,Aston Villa,1-0
1415,Man United,2-1,Liverpool,3-0
1415,Swansea,2-0,Tottenham,1-2
1415,Everton,2-0,QPR,3-1
1415,Man City,2-0,Crystal Palace,3-0
1415,Aston Villa,1-1,Man United,1-1
1415,Hull,0-1,Swansea,0-1
1415,QPR,1-1,West Brom,3-2
1415,Southampton,3-0,Everton,3-0
1415,Tottenham,3-0,Burnley,2-1
1415,West Ham,3-0,Leicester,2-0
1415,Newcastle,1-1,Sunderland,0-1
1415,Liverpool,2-2,Arsenal,2-2
1415,Stoke,1-2,Chelsea,0-2
1415,Burnley,1-3,Liverpool,0-1
1415,Crystal Palace,1-1,Southampton,1-3
1415,Everton,1-1,Stoke,0-1
1415,Leicester,1-1,Tottenham,1-2
1415,Man United,3-0,Newcastle,3-1
1415,Sunderland,1-0,Hull,1-3
1415,Swansea,2-1,Aston Villa,1-0
1415,West Brom,0-2,Man City,1-3
1415,Arsenal,4-0,QPR,2-1
1415,Chelsea,2-0,West Ham,2-0
1415,Tottenham,2-0,Man United,0-0
1415,Aston Villa,2-0,Sunderland,0-0
1415,Hull,2-0,Leicester,0-1
1415,Man City,3-0,Burnley,2-2
1415,QPR,2-2,Crystal Palace,0-0
1415,Stoke,2-0,West Brom,2-0
1415,West Ham,1-1,Arsenal,1-2
1415,Southampton,0-2,Chelsea,1-1
1415,Newcastle,1-1,Everton,3-2
1415,Liverpool,2-1,Swansea,4-1
1415,Southampton,1-2,Arsenal,2-0
1415,Stoke,1-1,Man United,1-1
1415,Aston Villa,1-1,Crystal Palace,0-0
1415,Hull,1-1,Everton,2-0
1415,Liverpool,3-0,Leicester,2-2
1415,Man City,3-0,Sunderland,3-2
1415,Newcastle,2-1,Burnley,3-3
1415,QPR,2-1,Swansea,1-1
1415,West Ham,2-0,West Brom,1-1
1415,Tottenham,0-3,Chelsea,5-3
1415,Sunderland,3-1,Liverpool,0-1
1415,Burnley,1-1,QPR,2-1
1415,Crystal Palace,1-1,Tottenham,2-1
1415,Chelsea,3-0,Newcastle,2-0
1415,Everton,1-2,Man City,1-1
1415,Swansea,1-1,West Ham,1-1
1415,West Brom,2-1,Hull,1-0
1415,Arsenal,1-1,Stoke,3-0
1415,Man United,1-1,Southampton,0-1
1415,Newcastle,1-1,Southampton,1-2
1415,Aston Villa,0-2,Liverpool,0-2
1415,Burnley,2-1,Crystal Palace,2-3
1415,Leicester,2-1,Stoke,0-1
1415,QPR,1-1,Man United,0-2
1415,Swansea,1-2,Chelsea,0-5
1415,Tottenham,2-0,Sunderland,2-1
1415,West Ham,2-0,Hull,3-0
1415,Man City,2-1,Arsenal,0-2
1415,Everton,1-0,West Brom,0-0
1415,Chelsea,2-1,Man City,1-1
1415,Hull,1-1,Newcastle,0-3
1415,Crystal Palace,2-1,Everton,0-1
1415,Liverpool,2-1,West Ham,2-0
1415,Man United,1-1,Leicester,3-1
1415,Stoke,2-0,QPR,3-1
1415,Sunderland,1-1,Burnley,2-0
1415,West Brom,0-0,Tottenham,0-3
1415,Arsenal,3-0,Aston Villa,5-0
1415,Southampton,2-0,Swansea,0-1
1415,Tottenham,0-2,Arsenal,2-1
1415,Everton,1-1,Liverpool,0-0
1415,Aston Villa,0-2,Chelsea,1-2
1415,Leicester,1-2,Crystal Palace,0-1
1415,Man City,4-0,Hull,1-1
1415,QPR,1-2,Southampton,0-1
1415,Swansea,2-0,Sunderland,1-1
1415,West Ham,2-1,Man United,1-1
1415,Newcastle,1-1,Stoke,1-1
1415,Burnley,2-0,West Brom,2-2
1415,Arsenal,3-0,Leicester,2-1
1415,Hull,1-1,Aston Villa,2-0
1415,Sunderland,2-0,QPR,0-2
1415,Liverpool,2-0,Tottenham,3-2
1415,Chelsea,2-0,Everton,1-0
1415,Man United,3-1,Burnley,3-1
1415,Southampton,1-1,West Ham,0-0
1415,Stoke,1-1,Man City,1-4
1415,Crystal Palace,2-1,Newcastle,1-1
1415,West Brom,1-1,Swansea,2-0
1415,Man City,3-0,Newcastle,5-0
1415,Chelsea,4-1,Burnley,1-1
1415,Crystal Palace,0-3,Arsenal,1-2
1415,Swansea,1-1,Man United,2-1
1415,Aston Villa,2-1,Stoke,1-2
1415,Hull,1-1,QPR,2-1
1415,Sunderland,1-1,West Brom,0-0
1415,Tottenham,2-1,West Ham,2-2
1415,Everton,1-1,Leicester,2-2
1415,Southampton,1-2,Liverpool,0-2
1415,Newcastle,2-0,Aston Villa,1-0
1415,Stoke,2-0,Hull,1-0
1415,West Brom,1-1,Southampton,1-0
1415,West Ham,2-1,Crystal Palace,1-3
1415,Burnley,2-1,Swansea,0-1
1415,Man United,3-0,Sunderland,2-0
1415,Liverpool,2-1,Man City,2-1
1415,Arsenal,3-0,Everton,2-0
1415,Hull,2-0,Sunderland,1-1
1415,Southampton,1-2,Crystal Palace,1-0
1415,Aston Villa,1-1,West Brom,2-1
1415,QPR,0-2,Arsenal,1-2
1415,Stoke,1-0,Everton,2-0
1415,Man City,3-2,Leicester,2-0
1415,Newcastle,1-1,Man United,0-1
1415,Tottenham,2-0,Swansea,3-2
1415,West Ham,1-2,Chelsea,0-1
1415,Liverpool,3-1,Burnley,2-0
1415,Crystal Palace,2-1,QPR,3-1
1415,Arsenal,3-0,West Ham,3-0
1415,Leicester,2-0,Hull,0-0
1415,Sunderland,0-0,Aston Villa,0-4
1415,West Brom,1-1,Stoke,1-0
1415,Burnley,1-3,Man City,1-0
1415,Chelsea,2-0,Southampton,1-1
1415,Man United,2-2,Tottenham,3-0
1415,Everton,1-0,Newcastle,3-0
1415,Swansea,1-3,Liverpool,0-1
1415,West Ham,3-0,Sunderland,1-0
1415,Man City,2-0,West Brom,3-0
1415,Aston Villa,1-1,Swansea,0-1
1415,Newcastle,0-3,Arsenal,1-2
1415,Southampton,2-1,Burnley,2-0
1415,Stoke,2-1,Crystal Palace,1-2
1415,Tottenham,1-2,Leicester,4-3
1415,Liverpool,3-1,Man United,1-2
1415,Hull,0-2,Chelsea,2-3
1415,QPR,1-1,Everton,1-2
1415,Chelsea,2-0,Stoke,2-1
1415,Arsenal,2-1,Liverpool,4-1
1415,Leicester,2-1,West Ham,2-1
1415,Man United,2-0,Aston Villa,3-1
1415,Swansea,2-0,Hull,3-1
1415,West Brom,3-0,QPR,1-4
1415,Sunderland,1-1,Newcastle,1-0
1415,Burnley,1-1,Tottenham,0-0
1415,Crystal Palace,1-3,Man City,2-1
1415,Burnley,1-3,Arsenal,0-1
1415,Tottenham,2-2,Aston Villa,0-1
1415,Sunderland,1-2,Crystal Palace,1-4
1415,Southampton,2-0,Hull,2-0
1415,West Brom,1-2,Leicester,2-3
1415,West Ham,1-1,Stoke,1-1
1415,Swansea,1-1,Everton,1-1
1415,Man United,2-1,Man City,4-2
1415,QPR,0-2,Chelsea,0-1
1415,Liverpool,2-0,Newcastle,2-0
1415,Chelsea,1-1,Man United,1-0
1415,Crystal Palace,2-0,West Brom,0-2
1415,Everton,3-1,Burnley,1-0
1415,Leicester,2-1,Swansea,2-0
1415,Stoke,1-1,Southampton,2-1
1415,Man City,2-0,West Ham,2-0
1415,Newcastle,1-2,Tottenham,1-3
1415,Crystal Palace,1-0,Hull,0-2
1415,Newcastle,1-2,Swansea,2-3
1415,QPR,2-1,West Ham,0-0
1415,Stoke,2-0,Sunderland,1-1
1415,Man City,2-1,Aston Villa,3-2
1415,Southampton,2-1,Tottenham,2-2
1415,Burnley,1-1,Leicester,0-1
1415,West Brom,1-2,Liverpool,0-0
1415,Arsenal,0-0,Chelsea,0-0
1415,Everton,2-2,Man United,3-0
1415,Leicester,3-1,Chelsea,1-3
1415,Leicester,2-1,Newcastle,3-0
1415,Aston Villa,1-1,Everton,3-2
1415,Liverpool,2-1,QPR,2-1
1415,Sunderland,1-3,Southampton,2-1
1415,Swansea,1-1,Stoke,2-0
1415,West Ham,2-0,Burnley,1-0
1415,Man United,3-0,West Brom,0-1
1415,Chelsea,3-1,Crystal Palace,1-0
1415,Tottenham,2-2,Man City,0-1
1415,Hull,0-3,Arsenal,1-3
1415,Everton,3-1,Sunderland,0-2
1415,Aston Villa,3-1,West Ham,1-0
1415,Hull,2-0,Burnley,0-1
1415,Leicester,2-1,Southampton,2-0
1415,Newcastle,1-1,West Brom,1-1
1415,Stoke,2-0,Tottenham,3-0
1415,Crystal Palace,0-2,Man United,1-2
1415,Chelsea,2-0,Liverpool,1-1
1415,Man City,3-0,QPR,6-0
1415,Arsenal,3-0,Swansea,0-1
1415,Liverpool,2-0,Crystal Palace,1-3
1415,Southampton,2-1,Aston Villa,6-1
1415,Burnley,1-1,Stoke,0-0
1415,QPR,2-1,Newcastle,2-1
1415,Sunderland,1-1,Leicester,0-0
1415,Tottenham,1-2,Hull,2-0
1415,West Ham,2-1,Everton,1-2
1415,Swansea,1-3,Man City,2-4
1415,Man United,2-1,Arsenal,1-1
1415,West Brom,0-2,Chelsea,3-0
1415,Arsenal,3-1,West Brom,4-1
1415,Hull,2-1,Man United,0-0
1415,Newcastle,2-1,West Ham,2-0
1415,Chelsea,4-0,Sunderland,3-1
1415,Aston Villa,2-2,Burnley,0-1
1415,Crystal Palace,2-2,Swansea,1-0
1415,Everton,3-1,Tottenham,0-1
1415,Leicester,2-1,QPR,5-1
1415,Man City,3-1,Southampton,2-0
1415,Stoke,2-1,Liverpool,6-1
1516,Chelsea,2-0,Swansea,2-2
1516,Man United,1-0,Tottenham,1-0
1516,Bournemouth,2-0,Aston Villa,0-1
1516,Norwich,1-3,Crystal Palace,1-3
1516,Everton,2-0,Watford,2-2
1516,Leicester,2-1,Sunderland,4-2
1516,Arsenal,3-0,West Ham,0-2
1516,Newcastle,1-1,Southampton,2-2
1516,Stoke,1-1,Liverpool,0-1
1516,West Brom,1-2,Man City,0-3
1516,Aston Villa,1-1,Man United,0-1
1516,Southampton,3-1,Everton,0-3
1516,Sunderland,2-2,Norwich,1-3
1516,Swansea,2-0,Newcastle,2-0
1516,Tottenham,2-2,Stoke,2-2
1516,Watford,2-1,West Brom,0-0
1516,West Ham,1-2,Leicester,1-2
1516,Crystal Palace,1-3,Arsenal,1-2
1516,Man City,1-1,Chelsea,3-0
1516,Liverpool,3-1,Bournemouth,1-0
1516,Man United,2-0,Newcastle,0-0
1516,Crystal Palace,2-0,Aston Villa,2-1
1516,Leicester,2-1,Tottenham,1-1
1516,Norwich,2-2,Stoke,1-1
1516,Sunderland,0-3,Swansea,1-1
1516,West Ham,2-1,Bournemouth,3-4
1516,West Brom,0-2,Chelsea,2-3
1516,West Brom,0-2,Chelsea,2-3
1516,Everton,0-3,Man City,0-2
1516,Watford,1-1,Southampton,0-0
1516,Arsenal,2-1,Liverpool,0-0
1516,Tottenham,2-2,Everton,0-0
1516,Newcastle,1-2,Arsenal,0-1
1516,Aston Villa,2-0,Sunderland,2-2
1516,Bournemouth,2-2,Leicester,1-1
1516,Chelsea,3-1,Crystal Palace,1-2
1516,Liverpool,3-0,West Ham,0-3
1516,Man City,4-0,Watford,2-0
1516,Stoke,2-0,West Brom,0-1
1516,Southampton,2-1,Norwich,3-0
1516,Swansea,2-1,Man United,2-1
1516,Everton,1-2,Chelsea,3-1
1516,Arsenal,2-0,Stoke,2-0
1516,Crystal Palace,1-2,Man City,0-1
1516,Norwich,2-2,Bournemouth,3-1
1516,Watford,0-2,Swansea,1-0
1516,West Brom,1-1,Southampton,0-0
1516,Man United,2-2,Liverpool,3-1
1516,Sunderland,1-2,Tottenham,0-1
1516,Leicester,1-1,Aston Villa,3-2
1516,West Ham,2-1,Newcastle,2-0
1516,Chelsea,2-1,Arsenal,2-0
1516,Aston Villa,2-1,West Brom,0-1
1516,Bournemouth,2-1,Sunderland,2-0
1516,Newcastle,2-1,Watford,1-2
1516,Stoke,2-1,Leicester,2-2
1516,Swansea,2-2,Everton,0-0
1516,Man City,2-1,West Ham,1-2
1516,Tottenham,1-3,Crystal Palace,1-0
1516,Southampton,1-1,Man United,2-3
1516,Liverpool,2-1,Norwich,1-1
1516,Newcastle,0-3,Chelsea,2-2
1516,Tottenham,0-3,Man City,4-1
1516,Leicester,1-2,Arsenal,2-5
1516,Liverpool,1-0,Aston Villa,3-2
1516,Liverpool,1-0,Aston Villa,3-2
1516,Man United,4-0,Sunderland,3-0
1516,Southampton,2-1,Swansea,3-1
1516,Stoke,2-0,Bournemouth,2-1
1516,West Ham,3-1,Norwich,2-2
1516,Watford,1-1,Crystal Palace,0-1
1516,West Brom,1-2,Everton,2-3
1516,Chelsea,3-1,Southampton,1-3
1516,Crystal Palace,2-0,West Brom,2-0
1516,Aston Villa,1-1,Stoke,0-1
1516,Bournemouth,2-2,Watford,1-1
1516,Man City,3-0,Newcastle,6-1
1516,Norwich,2-1,Leicester,1-2
1516,Sunderland,1-2,West Ham,2-2
1516,Everton,2-2,Liverpool,1-1
1516,Arsenal,2-1,Man United,3-0
1516,Swansea,1-1,Tottenham,2-2
1516,Arsenal,2-0,Everton,2-1
1516,Aston Villa,1-0,Swansea,1-2
1516,Leicester,2-1,Crystal Palace,1-0
1516,Norwich,2-0,West Brom,0-1
1516,Stoke,2-0,Watford,0-2
1516,West Ham,1-2,Chelsea,2-1
1516,Sunderland,2-1,Newcastle,3-0
1516,Bournemouth,1-2,Tottenham,1-5
1516,Man United,2-1,Man City,0-0
1516,Liverpool,2-1,Southampton,1-1
1516,Chelsea,2-0,Liverpool,1-3
1516,Crystal Palace,1-1,Man United,0-0
1516,Man City,4-0,Norwich,2-1
1516,Newcastle,2-1,Stoke,0-0
1516,Swansea,1-3,Arsenal,0-3
1516,Watford,1-2,West Ham,2-0
1516,West Brom,1-1,Leicester,2-3
1516,Everton,2-0,Sunderland,6-2
1516,Southampton,3-0,Bournemouth,2-0
1516,Tottenham,2-0,Aston Villa,3-1
1516,Stoke,1-2,Chelsea,1-0
1516,Bournemouth,1-2,Newcastle,0-1
1516,Leicester,3-2,Watford,2-1
1516,Man United,1-0,West Brom,2-0
1516,Norwich,1-1,Swansea,1-0
1516,Sunderland,1-2,Southampton,0-1
1516,West Ham,2-2,Everton,1-1
1516,Arsenal,3-0,Tottenham,1-1
1516,Aston Villa,0-2,Man City,0-0
1516,Liverpool,2-1,Crystal Palace,1-2
1516,Man City,2-0,Liverpool,1-4
1516,Watford,1-1,Man United,1-2
1516,Chelsea,2-0,Norwich,1-0
1516,Everton,2-0,Aston Villa,4-0
1516,Newcastle,2-2,Leicester,0-3
1516,Southampton,2-0,Stoke,0-1
1516,Swansea,1-1,Bournemouth,2-2
1516,West Brom,0-2,Arsenal,2-1
1516,Tottenham,2-1,West Ham,4-1
1516,Crystal Palace,2-0,Sunderland,0-1
1516,Leicester,2-2,Man United,1-1
1516,Aston Villa,1-1,Watford,2-3
1516,Bournemouth,1-2,Everton,3-3
1516,Crystal Palace,2-0,Newcastle,5-1
1516,Man City,2-1,Southampton,3-1
1516,Sunderland,1-1,Stoke,2-0
1516,West Ham,2-0,West Brom,1-1
1516,Norwich,0-3,Arsenal,1-1
1516,Tottenham,1-1,Chelsea,0-0
1516,Liverpool,3-0,Swansea,1-0
1516,Stoke,1-1,Man City,2-0
1516,Chelsea,2-0,Bournemouth,0-1
1516,Arsenal,2-0,Sunderland,3-1
1516,Man United,2-0,West Ham,0-0
1516,Southampton,2-1,Aston Villa,1-1
1516,Swansea,2-2,Leicester,0-3
1516,Watford,2-1,Norwich,2-0
1516,West Brom,1-2,Tottenham,1-1
1516,Newcastle,0-4,Liverpool,2-0
1516,Bournemouth,1-1,Man United,2-1
1516,Norwich,1-3,Everton,1-1
1516,Crystal Palace,1-1,Southampton,1-0
1516,Man City,3-0,Swansea,2-1
1516,Sunderland,2-2,Watford,0-1
1516,West Ham,1-2,Stoke,0-0
1516,Aston Villa,0-3,Arsenal,0-2
1516,Tottenham,3-0,Newcastle,1-2
1516,Liverpool,1-0,West Brom,2-2
1516,Leicester,2-2,Chelsea,2-1
1516,Newcastle,2-0,Aston Villa,1-1
1516,Chelsea,3-0,Sunderland,3-1
1516,Everton,2-1,Leicester,2-3
1516,Man United,2-0,Norwich,1-2
1516,Southampton,1-1,Tottenham,0-2
1516,Stoke,2-2,Crystal Palace,1-2
1516,West Brom,1-1,Bournemouth,1-2
1516,Watford,1-1,Liverpool,3-0
1516,Swansea,1-1,West Ham,0-0
1516,Arsenal,3-1,Man City,2-1
1516,Stoke,2-1,Man United,2-0
1516,Man City,2-0,Sunderland,4-1
1516,Aston Villa,1-1,West Ham,1-1
1516,Bournemouth,2-3,Crystal Palace,0-0
1516,Chelsea,2-0,Watford,2-2
1516,Liverpool,2-2,Leicester,1-0
1516,Swansea,2-0,West Brom,1-0
1516,Tottenham,3-1,Norwich,3-0
1516,Newcastle,1-1,Everton,0-1
1516,Southampton,1-3,Arsenal,4-0
1516,Crystal Palace,3-1,Swansea,0-0
1516,Everton,1-1,Stoke,3-4
1516,Norwich,2-1,Aston Villa,2-0
1516,Watford,1-1,Tottenham,1-2
1516,West Brom,1-0,Newcastle,1-0
1516,Arsenal,3-1,Bournemouth,2-0
