Season,Home,Prediction,Away,Result
1617,Chelsea,3-1,Middlesbrough,3-0
1617,Everton,3-0,Watford,1-0
1617,West Brom,1-1,Chelsea,0-1
1617,Man City,4-2,Leicester,2-1
1617,Bournemouth,3-2,Burnley,2-1
1617,Middlesbrough,2-0,Southampton,1-2
1617,Sunderland,1-3,Swansea,0-2
1617,Stoke,1-3,Arsenal,1-4
1617,Crystal Palace,3-1,Hull,4-0
1617,West Ham,1-1,Liverpool,0-4
1617,Tottenham,3-0,Man Utd,2-1
1617,Chelsea,3-0,Watford,4-3
1617,Arsenal,4-0,Sunderland,2-0
1617,Man City,3-0,West Brom,3-1
1617,Southampton,1-2,Man Utd,0-0
1617,Leicester,2-3,Tottenham,1-6
1617,Arsenal,3-1,Everton,3-1
1617,Burnley,2-0,West Ham,1-2
1617,Chelsea,4-0,Sunderland,5-1
1617,Hull,0-3,Tottenham,1-7
1617,Leicester,2-2,Bournemouth,1-1
1617,Liverpool,2-0,Middlesbrough,3-0
1617,Man Utd,3-2,Crystal Palace,2-0
1617,Southampton,3-1,Stoke,0-1
1617,Swansea,2-1,West Brom,2-1
1617,Watford,0-3,Man City,0-5
1718,Arsenal,2-1,Leicester,4-3
1718,Watford,0-3,Liverpool,3-3
1718,Chelsea,3-1,Burnley,2-3
1718,Crystal Palace,3-1,Huddersfield,0-3
1718,Everton,2-0,Stoke,1-0
1718,Southampton,1-1,Swansea,0-0
1718,West Brom,2-1,Bournemouth,1-0
1718,Brighton,0-4,Man City,0-2
1718,Newcastle,0-3,Tottenham,0-2
1718,Man United,2-0,West Ham,4-0
1718,Swansea,0-2,Man United,0-4
1718,Bournemouth,3-1,Watford,0-2
1718,Burnley,2-1,West Brom,0-1
1718,Leicester,3-0,Brighton,2-0
1718,Liverpool,3-1,Crystal Palace,1-0
1718,Southampton,1-0,West Ham,3-2
1718,Stoke,1-3,Arsenal,1-0
1718,Huddersfield,1-1,Newcastle,1-0
1718,Tottenham,1-1,Chelsea,1-2
1718,Man City,3-0,Everton,1-1
1718,Bournemouth,0-3,Man City,1-2
1718,West Brom,1-0,Stoke,1-1
1718,Liverpool,3-1,Arsenal,4-0
1718,Crystal Palace,1-0,Swansea,0-2
1718,Huddersfield,1-2,Southampton,0-0
1718,Newcastle,0-2,West Ham,3-0
1718,Watford,2-0,Brighton,0-0
1718,Man United,2-1,Leicester,2-0
1718,Chelsea,2-1,Everton,2-0
1718,Tottenham,3-0,Burnley,1-1
1718,Man City,3-2,Liverpool,5-0
1718,Arsenal,2-1,Bournemouth,3-0
1718,Brighton,0-1,West Brom,3-1
1718,Everton,1-1,Tottenham,0-3
1718,Leicester,1-2,Chelsea,1-2
1718,Southampton,1-0,Watford,0-2
1718,Stoke,1-2,Man United,2-2
1718,Burnley,2-0,Crystal Palace,1-0
1718,Swansea,2-0,Newcastle,0-1
1718,West Ham,2-1,Huddersfield,2-0
1718,Bournemouth,2-1,Brighton,2-1
1718,Crystal Palace,1-1,Southampton,0-1
1718,Huddersfield,1-2,Leicester,1-1
1718,Liverpool,2-0,Burnley,1-1
1718,Newcastle,1-1,Stoke,2-1
1718,Watford,0-3,Man City,0-6
1718,West Brom,1-0,West Ham,0-0
1718,Tottenham,3-0,Swansea,0-0
1718,Chelsea,3-0,Arsenal,0-0
1718,Man United,3-0,Everton,4-0
1718,West Ham,1-3,Tottenham,2-3
1718,Burnley,2-0,Huddersfield,0-0
1718,Everton,2-0,Bournemouth,2-1
1718,Man City,4-0,Crystal Palace,5-0
1718,Southampton,0-2,Man United,0-1
1718,Stoke,1-3,Chelsea,0-4
1718,Swansea,1-1,Watford,1-2
1718,Leicester,1-2,Liverpool,2-3
1718,Brighton,1-1,Newcastle,1-0
1718,Arsenal,2-0,West Brom,2-0
1718,Huddersfield,0-3,Tottenham,0-4
1718,Bournemouth,2-1,Leicester,0-0
1718,Man United,4-0,Crystal Palace,4-0
1718,Stoke,1-0,Southampton,2-1
1718,West Brom,1-0,Watford,2-2
1718,West Ham,2-0,Swansea,1-0
1718,Chelsea,1-1,Man City,0-1
1718,Arsenal,3-0,Brighton,2-0
1718,Everton,2-0,Burnley,0-1
1718,Newcastle,1-3,Liverpool,1-1
1718,Liverpool,1-1,Man United,0-0
1718,Burnley,1-0,West Ham,1-1
1718,Crystal Palace,0-1,Chelsea,2-1
1718,Man City,3-0,Stoke,7-2
1718,Swansea,1-0,Huddersfield,2-0
1718,Tottenham,3-0,Bournemouth,1-0
1718,Watford,1-2,Arsenal,2-1
1718,Brighton,2-1,Everton,1-1
1718,Southampton,2-0,Newcastle,2-2
1718,Leicester,2-0,West Brom,1-1
1718,West Ham,1-0,Brighton,0-3
1718,Chelsea,2-1,Watford,4-2
1718,Huddersfield,0-2,Man United,2-1
1718,Man City,4-0,Burnley,3-0
1718,Newcastle,1-1,Crystal Palace,1-0
1718,Stoke,2-1,Bournemouth,1-2
1718,Swansea,2-1,Leicester,1-2
1718,Southampton,0-0,West Brom,1-0
1718,Everton,1-3,Arsenal,2-5
1718,Tottenham,3-2,Liverpool,4-1
1718,Man United,1-1,Tottenham,1-0
1718,Arsenal,3-0,Swansea,2-1
1718,Crystal Palace,1-1,West Ham,2-2
1718,Liverpool,2-0,Huddersfield,3-0
1718,Watford,3-1,Stoke,0-1
1718,West Brom,0-2,Man City,2-3
1718,Bournemouth,1-3,Chelsea,0-1
1718,Brighton,2-1,Southampton,1-1
1718,Leicester,1-1,Everton,2-0
1718,Burnley,1-2,Newcastle,1-0
1718,Stoke,1-1,Leicester,2-2
1718,Huddersfield,2-0,West Brom,1-0
1718,Newcastle,2-1,Bournemouth,0-1
1718,Southampton,1-0,Burnley,0-1
1718,Swansea,2-0,Brighton,0-1
1718,West Ham,1-3,Liverpool,1-4
1718,Tottenham,3-0,Crystal Palace,1-0
1718,Man City,3-2,Arsenal,3-1
1718,Chelsea,1-0,Man United,1-0
1718,Everton,2-2,Watford,3-2
1718,Arsenal,1-1,Tottenham,2-0
1718,Bournemouth,2-0,Huddersfield,4-0
1718,Burnley,1-0,Swansea,2-0
1718,Crystal Palace,1-1,Everton,2-2
1718,Leicester,1-3,Man City,0-2
1718,Liverpool,1-0,Southampton,3-0
1718,West Brom,1-2,Chelsea,0-4
1718,Man United,2-0,Newcastle,4-1
1718,Watford,1-1,West Ham,2-0
1718,Brighton,2-1,Stoke,2-2
1718,West Ham,1-3,Leicester,1-1
1718,Crystal Palace,2-1,Stoke,2-1
1718,Man United,3-0,Brighton,1-0
1718,Newcastle,1-2,Watford,0-3
1718,Swansea,0-2,Bournemouth,0-0
1718,Tottenham,3-0,West Brom,1-1
1718,Liverpool,1-1,Chelsea,1-1
1718,Southampton,1-1,Everton,4-1
1718,Burnley,1-3,Arsenal,0-1
1718,Huddersfield,0-4,Man City,1-2
1718,Brighton,1-1,Crystal Palace,0-0
1718,Leicester,1-1,Tottenham,2-1
1718,Watford,1-1,Man United,2-4
1718,West Brom,2-0,Newcastle,2-2
1718,Arsenal,3-0,Huddersfield,5-0
1718,Bournemouth,2-0,Burnley,1-2
1718,Chelsea,4-0,Swansea,1-0
1718,Everton,2-0,West Ham,4-0
1718,Man City,3-0,Southampton,2-1
1718,Stoke,1-3,Liverpool,0-3
1718,Chelsea,3-0,Newcastle,3-1
1718,Brighton,0-2,Liverpool,1-5
1718,Everton,2-0,Huddersfield,2-0
1718,Leicester,2-1,Burnley,1-0
1718,Stoke,1-0,Swansea,2-1
1718,Watford,1-3,Tottenham,1-1
1718,West Brom,1-2,Crystal Palace,0-0
1718,Arsenal,2-1,Man United,1-3
1718,Bournemouth,1-2,Southampton,1-1
1718,Man City,4-0,West Ham,2-1
1718,West Ham,1-3,Chelsea,1-0
1718,Burnley,1-0,Watford,1-0
1718,Crystal Palace,2-1,Bournemouth,2-2
1718,Huddersfield,1-1,Brighton,2-0
1718,Swansea,1-0,West Brom,1-0
1718,Tottenham,3-0,Stoke,5-1
1718,Newcastle,1-2,Leicester,2-3
1718,Southampton,1-3,Arsenal,1-1
1718,Liverpool,2-0,Everton,1-1
1718,Man United,2-2,Man City,1-2
1718,Burnley,2-0,Stoke,1-0
1718,Crystal Palace,1-2,Watford,2-1
1718,Huddersfield,0-2,Chelsea,1-3
1718,Newcastle,1-1,Everton,0-1
1718,Southampton,2-2,Leicester,1-4
1718,Swansea,0-3,Man City,0-4
1718,Liverpool,3-0,West Brom,0-0
1718,Man United,3-1,Bournemouth,1-0
1718,Tottenham,4-0,Brighton,2-0
1718,West Ham,1-3,Arsenal,0-0
1718,Leicester,2-1,Crystal Palace,0-3
1718,Arsenal,4-0,Newcastle,1-0
1718,Brighton,1-2,Burnley,0-0
1718,Chelsea,3-0,Southampton,1-0
1718,Stoke,1-0,West Ham,0-3
1718,Watford,2-0,Huddersfield,1-4
1718,Man City,3-1,Tottenham,4-1
1718,West Brom,0-2,Man United,1-2
1718,Bournemouth,1-3,Liverpool,0-4
1718,Everton,2-0,Swansea,3-1
1718,Arsenal,2-1,Liverpool,3-3
1718,Everton,0-3,Chelsea,0-0
1718,Brighton,2-0,Watford,1-0
1718,Man City,2-0,Bournemouth,4-0
1718,Southampton,2-0,Huddersfield,1-1
1718,Stoke,1-1,West Brom,3-1
1718,Swansea,0-3,Crystal Palace,1-1
1718,West Ham,2-0,Newcastle,2-3
1718,Burnley,1-3,Tottenham,0-3
1718,Leicester,0-2,Man United,2-2
1718,Tottenham,3-0,Southampton,5-2
1718,Bournemouth,2-1,West Ham,3-3
1718,Chelsea,3-0,Brighton,2-0
1718,Huddersfield,2-0,Stoke,1-1
1718,Man United,4-0,Burnley,2-2
1718,Watford,1-2,Leicester,2-1
1718,West Brom,1-2,Everton,0-0
1718,Liverpool,4-0,Swansea,5-0
1718,Newcastle,0-4,Man City,0-1
1718,Crystal Palace,2-3,Arsenal,2-3
1718,Bournemouth,1-0,Everton,2-1
1718,Chelsea,3-0,Stoke,5-0
1718,Huddersfield,2-1,Burnley,0-0
1718,Liverpool,4-1,Leicester,2-1
1718,Newcastle,2-1,Brighton,0-0
1718,Watford,3-0,Swansea,1-2
1718,Man United,4-0,Southampton,0-0
1718,Crystal Palace,1-5,Man City,0-0
1718,West Brom,1-3,Arsenal,1-1
1718,Brighton,1-1,Bournemouth,2-2
1718,Burnley,0-2,Liverpool,1-2
1718,Leicester,3-1,Huddersfield,3-0
1718,Stoke,2-0,Newcastle,0-1
1718,Everton,0-1,Man United,0-2
1718,Southampton,0-2,Crystal Palace,1-2
1718,Swansea,0-3,Tottenham,0-2
1718,West Ham,2-1,West Brom,2-1
1718,Man City,4-0,Watford,3-1
1718,Arsenal,1-3,Chelsea,2-2
1718,Tottenham,3-1,West Ham,1-1
1718,Chelsea,2-0,Leicester,0-0
1718,Crystal Palace,2-1,Burnley,1-0
1718,Huddersfield,2-1,West Ham,1-4
1718,Newcastle,1-0,Swansea,1-1
1718,Watford,1-1,Southampton,2-2
1718,West Brom,2-0,Brighton,2-0
1718,Tottenham,2-0,Everton,4-0
1718,Bournemouth,2-1,Arsenal,2-1
1718,Liverpool,2-1,Man City,4-3
1718,Man United,2-0,Stoke,3-0
1718,Brighton,0-1,Chelsea,0-4
1718,Arsenal,1-2,Crystal Palace,4-1
1718,Burnley,0-2,Man United,0-1
1718,Everton,1-0,West Brom,1-1
1718,Leicester,2-0,Watford,2-0
1718,Stoke,1-0,Huddersfield,2-0
1718,West Ham,2-1,Bournemouth,1-1
1718,Man City,3-0,Newcastle,3-1
1718,Southampton,0-3,Tottenham,1-1
1718,Swansea,0-2,Liverpool,1-0
1718,Swansea,0-2,Arsenal,3-1
1718,West Ham,1-2,Crystal Palace,1-1
1718,Huddersfield,0-3,Liverpool,0-3
1718,Chelsea,3-1,Bournemouth,0-3
1718,Everton,1-2,Leicester,2-1
1718,Newcastle,0-1,Burnley,1-1
1718,Southampton,2-0,Brighton,1-1
1718,Man City,3-0,West Brom,3-0
1718,Stoke,2-0,Watford,0-0
1718,Tottenham,2-1,Man United,2-0
1718,Burnley,0-3,Man City,1-1
1718,Bournemouth,2-0,Stoke,2-1
1718,Brighton,2-1,West Ham,3-1
1718,Leicester,2-0,Swansea,1-1
1718,Man United,3-0,Huddersfield,2-0
1718,West Brom,2-0,Southampton,2-3
1718,Arsenal,3-0,Everton,5-1
1718,Crystal Palace,2-0,Newcastle,1-1
1718,Liverpool,2-2,Tottenham,2-2
1718,Watford,1-3,Chelsea,4-1
1718,Tottenham,2-2,Arsenal,1-0
1718,Everton,2-0,Crystal Palace,3-1
1718,Stoke,2-1,Brighton,1-1
1718,Swansea,2-0,Burnley,1-0
1718,West Ham,2-0,Watford,2-0
1718,Man City,3-0,Leicester,5-1
1718,Huddersfield,1-3,Bournemouth,4-1
1718,Newcastle,0-2,Man United,1-0
1718,Southampton,1-2,Liverpool,0-2
1718,Chelsea,3-0,West Brom,3-0
1718,Leicester,2-0,Stoke,1-1
1718,Bournemouth,2-1,Newcastle,2-2
1718,Brighton,2-0,Swansea,4-1
1718,Burnley,1-1,Southampton,1-1
1718,Liverpool,3-0,West Ham,4-1
1718,West Brom,3-1,Huddersfield,1-2
1718,Watford,1-1,Everton,1-0
1718,Crystal Palace,1-3,Tottenham,0-1
1718,Man United,1-1,Chelsea,2-1
1718,Arsenal,1-3,Man City,0-3
1718,Burnley,1-1,Everton,2-1
1718,Leicester,2-0,Bournemouth,1-1
1718,Southampton,1-0,Stoke,0-0
1718,Swansea,1-0,West Ham,4-1
1718,Tottenham,4-0,Huddersfield,2-0
1718,Watford,2-0,West Brom,1-0
1718,Liverpool,2-0,Newcastle,2-0
1718,Brighton,2-1,Arsenal,2-1
1718,Man City,3-1,Chelsea,1-0
1718,Crystal Palace,0-1,Man United,2-3
1718,Man United,1-1,Liverpool,2-1
1718,Everton,1-0,Brighton,2-0
1718,Huddersfield,1-2,Swansea,0-0
1718,Newcastle,2-0,Southampton,3-0
1718,West Brom,2-1,Leicester,1-4
1718,West Ham,2-0,Burnley,0-3
1718,Chelsea,2-0,Crystal Palace,2-1
1718,Arsenal,2-0,Watford,3-0
1718,Bournemouth,1-2,Tottenham,1-4
1718,Stoke,0-4,Man City,0-2
1718,Bournemouth,2-0,West Brom,2-1
1718,Huddersfield,1-2,Crystal Palace,0-2
1718,Stoke,2-0,Everton,1-2
1718,Liverpool,3-0,Watford,5-0
1718,Crystal Palace,1-3,Liverpool,1-2
1718,Brighton,1-1,Leicester,0-2
1718,Man United,2-0,Swansea,2-0
1718,Newcastle,2-0,Huddersfield,1-0
1718,Watford,2-1,Bournemouth,2-2
1718,West Brom,0-1,Burnley,1-2
1718,West Ham,1-2,Southampton,3-0
1718,Everton,0-2,Man City,1-3
1718,Arsenal,3-0,Stoke,3-0
1718,Chelsea,2-1,Tottenham,1-3
1718,Everton,1-0,Liverpool,0-0
1718,Bournemouth,1-2,Crystal Palace,2-2
1718,Brighton,2-0,Huddersfield,1-1
1718,Leicester,2-0,Newcastle,1-2
1718,Stoke,1-3,Tottenham,1-2
1718,Watford,1-1,Burnley,1-2
1718,West Brom,1-2,Swansea,1-1
1718,Man City,1-0,Man United,2-3
1718,Arsenal,2-0,Southampton,3-2
1718,Chelsea,2-0,West Ham,1-1
1718,Southampton,1-3,Chelsea,2-3
1718,Burnley,2-1,Leicester,2-1
1718,Crystal Palace,2-0,Brighton,3-2
1718,Huddersfield,1-0,Watford,1-0
1718,Swansea,1-0,Everton,1-1
1718,Liverpool,3-1,Bournemouth,3-0
1718,Tottenham,3-1,Man City,1-3
1718,Newcastle,2-2,Arsenal,2-1
1718,Man United,5-0,West Brom,0-1
1718,West Ham,2-1,Stoke,1-1
1718,Brighton,1-3,Tottenham,1-1
1718,Bournemouth,1-2,Man United,0-2
1718,Burnley,2-1,Chelsea,1-2
1718,Leicester,2-1,Southampton,0-0
1718,West Brom,1-2,Liverpool,2-2
1718,Watford,1-2,Crystal Palace,0-0
1718,Arsenal,2-0,West Ham,4-1
1718,Stoke,2-1,Burnley,1-1
1718,Man City,3-0,Swansea,5-0
1718,Everton,1-2,Newcastle,1-0
1718,Liverpool,2-1,Stoke,0-0
1718,Burnley,2-1,Brighton,0-0
1718,Crystal Palace,2-1,Leicester,5-0
1718,Huddersfield,0-1,Everton,0-2
1718,Newcastle,2-0,West Brom,0-1
1718,Southampton,2-1,Bournemouth,2-1
1718,Swansea,1-1,Chelsea,0-1
1718,West Ham,0-4,Man City,1-4
1718,Man United,3-0,Arsenal,2-1
1718,Tottenham,4-0,Watford,2-0
1718,Brighton,0-2,Man United,1-0
1718,Stoke,2-1,Crystal Palace,1-2
1718,Bournemouth,2-1,Swansea,1-0
1718,Watford,1-0,Newcastle,2-1
1718,West Brom,1-1,Tottenham,1-0
1718,Everton,1-2,Southampton,1-1
1718,Man City,5-0,Huddersfield,0-0
1718,Arsenal,2-1,Burnley,5-0
1718,Chelsea,2-1,Liverpool,1-0
1718,Swansea,2-1,Southampton,0-1
1718,Chelsea,2-0,Huddersfield,1-1
1718,Leicester,0-3,Arsenal,3-1
1718,Man City,2-0,Brighton,3-1
1718,Tottenham,2-1,Newcastle,1-0
1718,West Ham,1-2,Man United,0-0
1718,Burnley,1-2,Bournemouth,1-2
1718,Crystal Palace,3-1,West Brom,2-0
1718,Huddersfield,1-2,Arsenal,0-1
1718,Liverpool,3-0,Brighton,4-0
1718,Man United,3-0,Watford,1-0
1718,Newcastle,2-1,Chelsea,3-0
1718,Southampton,1-3,Man City,0-1
1718,Swansea,2-1,Stoke,1-2
1718,Tottenham,4-0,Leicester,5-4
1718,West Ham,1-0,Everton,3-1
1819,Man Utd,2-0,Leicester,2-1
1819,Newcastle,0-0,Tottenham,1-2
1819,Bournemouth,2-0,Cardiff,2-0
1819,Fulham,1-1,Crystal Palace,0-2
1819,Huddersfield,0-2,Chelsea,0-3
1819,Watford,1-1,Brighton,2-0
1819,Wolves,1-1,Everton,2-2
1819,Liverpool,2-0,West Ham,4-0
1819,Southampton,2-1,Burnley,0-0
1819,Arsenal,1-3,Man City,0-2
1819,Cardiff ,1-1,Newcastle,0-0
1819,Everton,1-0,Southampton,2-1
1819,Leicester ,2-1,Wolves,2-0
1819,Tottenham ,3-1,Fulham,3-1
1819,West Ham ,2-1,Bournemouth,1-2
1819,Chelsea ,2-1,Arsenal,3-2
1819,Burnley ,1-0,Watford,1-3
1819,Man City ,5-0,Huddersfield,6-1
1819,Brighton ,1-2,Man Utd,3-2
1819,Crystal Palace ,1-2,Liverpool,0-2
1819,Wolves,1-3,Man City,1-1
1819,Arsenal,3-0,West Ham,3-1
1819,Bournemouth,2-2,Everton,2-2
1819,Huddersfield,1-0,Cardiff,0-0
1819,Southampton,2-0,Leicester,1-2
1819,Liverpool,3-0,Brighton,1-0
1819,Watford,1-2,Crystal Palace,2-1
1819,Fulham,1-0,Burnley,4-2
1819,Newcastle,1-2,Chelsea,1-2
1819,Man Utd,2-1,Tottenham,0-3
1819,Leicester,0-3,Liverpool,1-2
1819,Brighton,2-1,Fulham,2-2
1819,Chelsea,3-1,Bournemouth,2-0
1819,Crystal Palace,2-0,Southampton,0-2
1819,Everton,2-0,Huddersfield,1-1
1819,West Ham,2-2,Wolves,0-1
1819,Man City,3-0,Newcastle,2-1
1819,Cardiff ,0-3,Arsenal,2-3
1819,Burnley,0-2,Man Utd,0-2
1819,Watford,0-3,Tottenham,2-1
1819,Tottenham,1-2,Liverpool,1-2
1819,Bournemouth,2-2,Leicester,4-2
1819,Chelsea,4-0,Cardiff,4-1
1819,Huddersfield,0-2,Crystal Palace,0-1
1819,Man City,4-0,Fulham,3-0
1819,Newcastle,1-2,Arsenal,1-2
1819,Watford,1-2,Man Utd,1-2
1819,Wolves,2-1,Burnley,1-0
1819,Everton,1-1,West Ham,1-3
1819,Southampton,2-0,Brighton,2-2
1819,Fulham,1-2,Watford,1-1
1819,Burnley,1-2,Bournemouth,4-0
1819,Cardiff,1-3,Man City,0-5
1819,Crystal Palace,1-0,Newcastle,0-0
1819,Leicester,2-0,Huddersfield,3-1
1819,Liverpool,3-0,Southampton,3-0
1819,Man Utd,3-1,Wolves,1-1
1819,Brighton,1-1,Tottenham,1-2
1819,West Ham,1-3,Chelsea,0-0
1819,Arsenal,3-0,Everton,2-0
1819,West Ham,1-1,Man Utd,3-1
1819,Arsenal,2-1,Watford,2-0
1819,Everton,2-1,Fulham,3-0
1819,Huddersfield,0-3,Tottenham,0-2
1819,Man City,2-0,Brighton,2-0
1819,Newcastle,1-0,Leicester,0-2
1819,Wolves,2-0,Southampton,2-0
1819,Chelsea,1-1,Liverpool,1-1
1819,Cardiff,1-2,Burnley,1-2
1819,Bournemouth,2-1,Crystal Palace,2-1
1819,Brighton,2-2,West Ham,1-0
1819,Burnley,2-0,Huddersfield,1-1
1819,Crystal Palace,1-2,Wolves,0-1
1819,Leicester,2-1,Everton,1-2
1819,Tottenham,2-0,Cardiff,1-0
1819,Watford,2-1,Bournemouth,0-4
1819,Man Utd,2-0,Newcastle,3-2
1819,Fulham,2-3,Arsenal,1-5
1819,Southampton,1-3,Chelsea,0-3
1819,Liverpool,1-2,Man City,0-0
1819,Chelsea,3-1,Man Utd,2-2
1819,Bournemouth,1-1,Southampton,0-0
1819,Cardiff,2-1,Fulham,4-2
1819,Man City,3-0,Burnley,5-0
1819,Newcastle,1-0,Brighton,0-1
1819,West Ham,1-1,Tottenham,0-1
1819,Wolves,2-1,Watford,0-2
1819,Huddersfield,0-3,Liverpool,0-1
1819,Everton,2-0,Crystal Palace,2-0
1819,Arsenal,3-1,Leicester,3-1
1819,Brighton,2-0,Wolves,1-0
1819,Fulham,1-4,Bournemouth,0-3
1819,Liverpool,2-0,Cardiff,4-1
1819,Southampton,1-0,Newcastle,0-0
1819,Watford,2-0,Huddersfield,3-0
1819,Leicester,1-1,West Ham,1-1
1819,Burnley,1-3,Chelsea,0-4
1819,Crystal Palace,1-3,Arsenal,2-2
1819,Man United,2-1,Everton,2-1
1819,Tottenham,1-3,Man City,0-1
1819,Bournemouth,2-2,Man United,1-2
1819,Cardiff,2-1,Leicester,0-1
1819,Everton,2-0,Brighton,3-1
1819,Newcastle,0-2,Watford,1-0
1819,West Ham,2-0,Burnley,4-2
1819,Arsenal,1-3,Liverpool,1-1
1819,Wolves,1-3,Tottenham,2-3
1819,Man City,4-0,Southampton,6-1
1819,Chelsea,3-0,Crystal Palace,3-1
1819,Huddersfield,2-1,Fulham,1-0
1819,Cardiff,1-0,Brighton,2-1
1819,Huddersfield,1-2,West Ham,1-1
1819,Leicester,3-1,Burnley,0-0
1819,Newcastle,0-2,Bournemouth,2-1
1819,Southampton,1-2,Watford,1-1
1819,Crystal Palace,1-1,Tottenham,0-1
1819,Liverpool,5-0,Fulham,2-0
1819,Chelsea,2-0,Everton,0-0
1819,Arsenal,3-1,Wolves,1-1
1819,Man City,3-1,Man United,3-1
1819,Brighton,2-1,Leicester,1-1
1819,Everton,2-0,Cardiff,1-0
1819,Fulham,1-2,Southampton,3-2
1819,Man United,2-0,Crystal Palace,0-0
1819,Watford,2-2,Liverpool,0-3
1819,West Ham,1-3,Man City,0-4
1819,Tottenham,1-1,Chelsea,3-1
1819,Bournemouth,2-3,Arsenal,1-2
1819,Wolves,3-0,Huddersfield,0-2
1819,Burnley,1-1,Newcastle,1-2